COD LOCAL,NOMBRELOCAL,FECHA,VENTANETA
"72125,FR_LA MARIN 2,2024-02-07 ,""408,403866"""
"72126,FR_ AMBATO SHYRIS,2024-02-01 ,""1222,764414"""
"72126,FR_ AMBATO SHYRIS,2024-02-02 ,""478,623325"""
"72126,FR_ AMBATO SHYRIS,2024-02-03 ,""353,056523"""
"72126,FR_ AMBATO SHYRIS,2024-02-04 ,""247,802341"""
"72126,FR_ AMBATO SHYRIS,2024-02-05 ,""1322,266135"""
"72126,FR_ AMBATO SHYRIS,2024-02-06 ,""542,182959"""
"72126,FR_ AMBATO SHYRIS,2024-02-07 ,""374,213163"""
"72139,FR_EL PESCADOR,2024-02-01 ,""779,828843"""
"72139,FR_EL PESCADOR,2024-02-02 ,""667,94471"""
"72139,FR_EL PESCADOR,2024-02-03 ,""646,770102"""
"72139,FR_EL PESCADOR,2024-02-04 ,""411,115597"""
"72139,FR_EL PESCADOR,2024-02-05 ,""919,524775"""
"72139,FR_EL PESCADOR,2024-02-06 ,""610,301408"""
"72139,FR_EL PESCADOR,2024-02-07 ,""423,520731"""
"72143,FR_RIO PILALO,2024-02-01 ,""612,370693"""
"72143,FR_RIO PILALO,2024-02-02 ,""604,574076"""
"72143,FR_RIO PILALO,2024-02-03 ,""543,464334"""
"72143,FR_RIO PILALO,2024-02-04 ,""578,105086"""
"72143,FR_RIO PILALO,2024-02-05 ,""688,478483"""
"72143,FR_RIO PILALO,2024-02-06 ,""564,062955"""
"72143,FR_RIO PILALO,2024-02-07 ,""514,332763"""
"72149,FR_PLAZA KENNEDY,2024-02-01 ,""815,692658"""
"72149,FR_PLAZA KENNEDY,2024-02-02 ,""795,087646"""
"72149,FR_PLAZA KENNEDY,2024-02-03 ,""944,77088"""
"72149,FR_PLAZA KENNEDY,2024-02-04 ,""612,398094"""
"72149,FR_PLAZA KENNEDY,2024-02-05 ,""1011,677334"""
"72149,FR_PLAZA KENNEDY,2024-02-06 ,""1029,019894"""
"72149,FR_PLAZA KENNEDY,2024-02-07 ,""657,348669"""
"72150,FR_OCHOA LEON,2024-02-01 ,""366,659592"""
"72150,FR_OCHOA LEON,2024-02-02 ,""372,009715"""
"72150,FR_OCHOA LEON,2024-02-03 ,""362,578835"""
"72150,FR_OCHOA LEON,2024-02-04 ,""256,472753"""
"72150,FR_OCHOA LEON,2024-02-05 ,""557,484248"""
"72150,FR_OCHOA LEON,2024-02-06 ,""432,834992"""
"72150,FR_OCHOA LEON,2024-02-07 ,""534,665417"""
"72151,FR_LAURICE ANTON,2024-02-01 ,""775,978517"""
"72151,FR_LAURICE ANTON,2024-02-02 ,""477,39495"""
"72151,FR_LAURICE ANTON,2024-02-03 ,""594,672722"""
"72151,FR_LAURICE ANTON,2024-02-04 ,""388,697951"""
"72151,FR_LAURICE ANTON,2024-02-05 ,""873,992405"""
"72151,FR_LAURICE ANTON,2024-02-06 ,""553,717772"""
"72151,FR_LAURICE ANTON,2024-02-07 ,""465,276736"""
"72152,FR_PLAYA CHICA 2,2024-02-01 ,""1099,55474"""
"72152,FR_PLAYA CHICA 2,2024-02-02 ,""414,477959"""
"72152,FR_PLAYA CHICA 2,2024-02-03 ,""889,00433"""
"72152,FR_PLAYA CHICA 2,2024-02-04 ,""585,237219"""
"72152,FR_PLAYA CHICA 2,2024-02-05 ,""1788,637132"""
"72152,FR_PLAYA CHICA 2,2024-02-06 ,""532,399321"""
"72152,FR_PLAYA CHICA 2,2024-02-07 ,""473,588616"""
"72158,FR_CANONIGO RAMOS,2024-02-01 ,""1325,810162"""
"72158,FR_CANONIGO RAMOS,2024-02-02 ,""808,607456"""
"72158,FR_CANONIGO RAMOS,2024-02-03 ,""787,501746"""
"72158,FR_CANONIGO RAMOS,2024-02-04 ,""645,030946"""
"72158,FR_CANONIGO RAMOS,2024-02-05 ,""1706,525003"""
"72158,FR_CANONIGO RAMOS,2024-02-06 ,""1006,900033"""
"72158,FR_CANONIGO RAMOS,2024-02-07 ,""1002,855506"""
"72163,FR_JARDIN DE NAYON,2024-02-01 ,""940,383309"""
"72163,FR_JARDIN DE NAYON,2024-02-02 ,""355,85952"""
"72163,FR_JARDIN DE NAYON,2024-02-03 ,""529,444318"""
"72163,FR_JARDIN DE NAYON,2024-02-04 ,""499,781601"""
"72163,FR_JARDIN DE NAYON,2024-02-05 ,""1005,452661"""
"72163,FR_JARDIN DE NAYON,2024-02-06 ,""590,695365"""
"72163,FR_JARDIN DE NAYON,2024-02-07 ,""696,119858"""
"72165,FR_LIZARZABURO,2024-02-01 ,""869,510341"""
"72165,FR_LIZARZABURO,2024-02-02 ,""558,151311"""
"72165,FR_LIZARZABURO,2024-02-03 ,""371,944941"""
"72165,FR_LIZARZABURO,2024-02-04 ,""399,542414"""
"72165,FR_LIZARZABURO,2024-02-05 ,""876,616874"""
"72165,FR_LIZARZABURO,2024-02-06 ,""522,640427"""
"72165,FR_LIZARZABURO,2024-02-07 ,""650,204096"""
"72166,FR_IZAMBA,2024-02-01 ,""1387,721261"""
"72166,FR_IZAMBA,2024-02-02 ,""1152,102962"""
"72166,FR_IZAMBA,2024-02-03 ,""864,631784"""
"72166,FR_IZAMBA,2024-02-04 ,""848,43059"""
"72166,FR_IZAMBA,2024-02-05 ,""1163,53836"""
"72166,FR_IZAMBA,2024-02-06 ,""995,774988"""
"72166,FR_IZAMBA,2024-02-07 ,""866,442831"""
"72172,FR_SAN JACINTO,2024-02-01 ,""717,438253"""
"72172,FR_SAN JACINTO,2024-02-02 ,""282,909883"""
"72172,FR_SAN JACINTO,2024-02-03 ,""431,488854"""
"72172,FR_SAN JACINTO,2024-02-04 ,""416,270061"""
"72172,FR_SAN JACINTO,2024-02-05 ,""671,599426"""
"72172,FR_SAN JACINTO,2024-02-06 ,""372,362045"""
"72172,FR_SAN JACINTO,2024-02-07 ,""390,119244"""
"72180,FR_HEROES DE PAQUISHA,2024-02-01 ,""803,420985"""
"72180,FR_HEROES DE PAQUISHA,2024-02-02 ,""365,410563"""
"72180,FR_HEROES DE PAQUISHA,2024-02-03 ,""227,435223"""
"72180,FR_HEROES DE PAQUISHA,2024-02-04 ,""184,081468"""
"72180,FR_HEROES DE PAQUISHA,2024-02-05 ,""1041,924281"""
"72180,FR_HEROES DE PAQUISHA,2024-02-06 ,""666,179184"""
"72180,FR_HEROES DE PAQUISHA,2024-02-07 ,""325,368094"""
"72185,FR_CAUPICHO 2,2024-02-01 ,""949,370378"""
"72185,FR_CAUPICHO 2,2024-02-02 ,""585,983875"""
"72185,FR_CAUPICHO 2,2024-02-03 ,""510,49068"""
"72185,FR_CAUPICHO 2,2024-02-04 ,""592,674131"""
"72185,FR_CAUPICHO 2,2024-02-05 ,""912,767786"""
"72185,FR_CAUPICHO 2,2024-02-06 ,""576,99093"""
"72185,FR_CAUPICHO 2,2024-02-07 ,""822,360061"""
"72186,FR_UNIDAD POPULAR,2024-02-01 ,""1378,612065"""
"72186,FR_UNIDAD POPULAR,2024-02-02 ,""997,209042"""
"72186,FR_UNIDAD POPULAR,2024-02-03 ,""1014,246684"""
"72186,FR_UNIDAD POPULAR,2024-02-04 ,""645,85264"""
"72186,FR_UNIDAD POPULAR,2024-02-05 ,""1533,73087"""
"72186,FR_UNIDAD POPULAR,2024-02-06 ,""1226,93174"""
